user_id,sessions,days_active,device,traffic_source,max_step,avg_session_time
162,2,177,0,1,3,147
163,2,139,0,1,3,523
164,2,194,0,1,5,521
165,1,186,0,1,3,254
166,3,218,0,2,3,448
167,1,164,0,1,4,166
168,1,161,1,1,2,255
169,1,13,0,1,4,363
170,2,296,0,1,3,258
171,2,89,0,0,3,352
172,1,324,0,0,7,137
173,2,42,1,1,5,474
174,1,210,0,1,5,36
175,2,229,0,3,4,157
176,1,350,0,0,5,382
177,2,275,0,0,5,296
178,1,279,0,0,4,243
179,4,251,1,0,7,276
180,1,310,0,2,2,403
181,1,208,0,0,6,450
182,1,321,0,1,3,70
183,4,140,0,1,4,377
184,3,280,1,1,2,590
185,1,34,1,2,4,172
186,2,309,1,1,4,170
187,3,18,0,0,7,594
188,2,57,0,2,7,136
189,2,112,1,2,7,62
190,1,5,2,0,3,229
191,1,182,0,0,7,148
192,3,13,0,0,3,258
193,4,339,0,0,6,214
194,2,285,0,3,3,244
195,1,259,0,1,4,159
196,1,90,0,0,7,301
197,2,104,1,2,6,37
198,3,186,0,1,4,432
199,3,250,0,0,5,398
200,3,255,0,3,2,566
201,2,76,1,2,5,82
202,1,108,0,2,4,276
203,1,156,1,1,2,366
204,3,82,0,2,2,310
205,2,77,1,0,2,62
206,1,258,0,1,5,577
207,1,127,0,3,2,372
208,2,282,0,0,3,268
209,1,88,0,2,3,521
210,1,204,0,1,4,206
211,2,16,1,0,5,73
212,2,151,0,2,4,333
213,2,254,0,0,4,298
214,1,188,0,1,3,429
215,2,329,1,0,3,460
216,1,32,2,3,6,450
217,1,271,1,0,3,160
218,2,5,0,0,3,439
219,2,330,1,0,5,254
220,3,308,2,3,3,172
221,2,333,1,2,5,569
222,2,169,0,2,3,154
223,1,181,0,1,5,241
224,1,178,0,1,1,457
225,1,143,0,0,3,466
226,1,362,1,1,3,267
227,5,248,0,0,5,357
228,1,127,0,3,7,148
229,3,263,1,2,3,75
230,2,40,1,1,5,113
231,3,355,0,0,4,381
232,2,255,1,2,7,42
233,2,143,0,0,5,201
234,1,240,1,0,2,263
235,1,228,1,0,5,210
236,2,341,0,1,4,80
237,1,198,1,2,1,424
238,1,65,1,0,3,458
239,2,11,0,0,6,303
240,1,108,0,1,6,236
241,4,26,1,2,5,177
242,4,151,0,0,7,329
243,4,221,0,0,5,482
244,1,341,1,3,1,578
245,1,237,1,3,3,412
246,4,237,0,3,1,563
247,1,219,0,2,2,262
248,4,151,0,0,3,158
249,4,123,0,0,4,599
250,3,144,0,0,5,266
251,1,189,1,0,6,514
252,1,255,0,3,4,270
253,3,68,0,2,6,252
254,1,104,0,2,4,128
255,1,336,2,0,6,586
256,2,159,0,3,3,302
257,4,309,0,2,3,428
258,2,362,0,0,6,546
259,2,300,1,2,3,459
260,1,90,1,0,4,552
261,2,357,0,0,3,377
262,5,256,0,1,4,580
263,1,353,0,1,7,480
264,2,220,0,0,1,71
265,3,9,0,0,6,123
266,2,12,0,3,1,515
267,2,325,0,1,3,546
268,2,244,0,2,2,593
269,1,182,0,0,5,179
270,1,284,1,0,2,528
271,3,312,0,0,4,400
272,3,99,0,0,3,514
273,3,197,0,0,2,412
274,4,226,2,0,5,221
275,2,333,1,1,3,250
276,2,103,0,0,3,76
277,3,106,0,2,3,156
278,2,58,0,0,4,36
279,2,78,0,1,4,145
280,3,75,0,0,1,593
281,3,42,1,1,3,395
282,1,324,0,0,3,75
283,1,181,1,3,3,422
284,1,33,0,2,6,52
285,2,71,1,1,5,160
286,1,56,1,0,4,156
287,1,105,0,1,3,474
288,2,200,0,2,5,338
289,1,101,0,0,5,462
290,2,256,0,1,4,502
291,1,307,0,2,5,77
292,1,74,1,2,5,111
293,3,171,0,2,4,138
294,1,143,2,2,3,292
295,1,166,0,3,5,60
296,2,261,2,1,3,387
297,3,221,0,1,5,597
298,1,83,1,2,5,509
299,2,182,0,1,5,218
300,1,307,0,3,3,34
301,1,10,1,0,2,315
302,2,4,0,0,2,423
303,2,351,1,0,5,484
304,2,336,1,0,6,455
305,2,292,0,0,4,56
306,5,281,0,2,2,156
307,2,215,1,0,6,164
308,1,98,0,2,7,564
309,3,101,1,1,3,360
310,1,9,1,0,4,421
311,1,61,0,0,5,37
312,1,309,0,1,5,290
313,1,146,1,2,7,228
314,4,63,0,2,2,415
315,3,121,0,2,4,501
316,2,226,0,3,4,208
317,1,105,0,1,6,479
318,1,260,0,3,6,269
319,1,349,0,2,7,553
320,1,255,1,2,4,212
321,2,207,0,0,5,387
322,2,28,0,3,3,405
323,2,170,2,1,3,567
324,1,336,1,2,3,111
325,4,76,1,0,5,387
326,2,116,0,0,7,214
327,2,69,1,0,3,317
328,2,354,0,0,2,91
329,1,234,0,0,5,536
330,1,1,0,2,4,491
331,1,167,0,0,7,59
332,3,352,1,0,3,60
333,1,218,0,0,2,322
334,1,273,1,1,3,202
335,1,251,1,0,2,157
336,1,347,1,0,3,115
337,3,344,0,1,2,344
338,2,174,1,1,3,57
339,1,170,0,0,2,151
340,1,246,0,0,7,280
341,1,90,2,0,3,432
342,1,49,0,3,3,472
343,1,294,0,0,6,301
344,1,150,1,1,4,142
345,1,132,0,0,4,423
346,2,59,1,1,5,48
347,2,324,0,0,5,494
348,1,199,0,0,6,220
349,1,215,0,1,4,522
350,2,49,0,0,6,192
351,2,232,0,0,4,324
352,3,247,1,1,3,102
353,2,239,0,3,6,591
354,1,168,2,0,4,338
355,1,48,0,1,6,331
356,2,51,0,3,1,337
357,1,299,1,2,3,153
358,2,98,2,1,6,290
359,4,216,0,2,3,224
360,2,177,1,0,6,380
361,1,80,1,1,7,518
362,2,185,0,0,6,229
363,1,27,1,0,4,537
364,2,195,0,1,4,475
365,4,214,1,0,6,109
366,1,342,2,1,5,498
367,4,114,1,1,4,471
368,4,242,0,1,7,301
369,1,124,0,0,4,372
370,1,305,2,0,7,153
371,1,76,0,1,2,252
372,1,311,0,3,2,519
373,1,312,1,0,3,326
374,2,196,0,0,3,148
375,1,351,0,2,5,105
376,1,44,0,0,2,287
377,3,186,0,2,7,561
378,1,343,1,1,3,380
379,3,246,1,1,3,306
380,1,84,0,0,3,284
381,1,207,1,0,4,293
382,2,151,1,0,2,58
383,2,156,1,2,2,496
384,3,16,0,2,5,64
385,2,165,1,1,2,323
386,3,145,0,2,3,232
387,1,37,1,0,5,97
388,1,333,1,1,2,160
389,3,45,0,1,3,140
390,3,206,2,2,1,553
391,5,62,0,0,3,317
392,1,356,1,1,4,72
393,1,308,0,2,2,323
394,3,19,2,1,6,314
395,1,300,0,0,6,593
396,4,7,0,1,2,48
397,3,249,0,0,7,536
398,1,117,0,1,3,576
399,3,68,0,3,2,77
400,3,34,1,1,1,248
401,1,194,0,1,3,217
402,4,325,0,1,4,60
403,2,55,0,0,3,288
404,3,266,1,0,5,373
405,1,42,1,3,5,337
406,3,297,1,1,3,100
407,1,231,1,0,5,336
408,1,10,0,0,6,597
409,4,358,0,1,2,128
410,1,128,0,2,3,50
411,1,179,1,2,3,594
412,4,193,2,0,3,35
413,4,92,0,3,4,260
414,2,231,0,1,3,111
415,2,78,0,1,4,246
416,1,85,0,1,4,364
417,1,30,1,0,4,588
418,1,213,0,3,2,582
419,2,49,2,0,3,488
420,3,265,0,0,3,116
421,3,145,2,2,3,544
422,3,69,1,1,6,542
423,1,58,1,2,3,507
424,1,185,1,1,1,527
425,1,62,1,0,3,478
426,2,308,1,3,5,289
427,1,296,1,0,5,566
428,3,166,1,2,4,229
429,1,171,2,0,3,492
430,1,63,1,2,3,123
431,1,147,1,0,4,381
432,3,306,1,1,7,137
433,2,161,0,2,4,384
434,1,141,0,1,4,498
435,1,334,0,2,3,124
436,2,97,0,2,3,120
437,1,221,1,2,5,73
438,3,43,0,3,3,485
439,2,292,1,1,7,413
440,1,108,0,0,3,52
441,1,266,0,0,2,52
442,5,95,1,0,4,263
443,1,262,1,0,1,340
444,1,313,0,1,3,446
445,3,71,1,0,3,362
446,4,219,1,0,5,132
447,5,21,0,0,3,529
448,3,92,0,2,1,512
449,1,127,2,1,4,218
450,1,80,0,0,3,489
451,3,312,0,2,6,218
452,2,238,0,0,3,380
453,1,182,1,3,5,143
454,4,25,1,1,3,133
455,1,156,1,0,5,537
456,1,5,0,1,5,374
457,1,120,1,2,6,50
458,1,277,0,1,1,416
459,1,18,0,2,3,238
460,1,198,0,0,4,512
461,1,57,0,0,2,502
462,2,93,1,0,3,422
463,2,19,2,0,6,545
464,2,353,0,0,3,217
465,4,193,1,3,7,375
466,1,237,1,0,2,381
467,1,277,2,1,5,570
468,3,227,0,1,4,76
469,1,233,1,2,4,106
470,4,40,0,3,7,372
471,1,323,1,2,2,220
472,4,153,0,3,6,572
473,1,127,1,2,4,65
474,3,237,0,3,3,453
475,2,55,0,2,6,380
476,5,172,1,0,3,217
477,1,109,1,1,5,556
478,2,354,1,1,3,363
479,4,184,1,0,6,512
480,2,198,0,0,4,245
481,2,87,0,1,2,187
482,2,201,0,3,4,270
483,1,337,0,0,2,325
484,2,322,1,2,3,491
485,2,275,1,2,2,74
486,4,211,1,3,1,524
487,1,118,1,3,3,204
488,1,191,1,2,4,375
489,4,42,0,1,3,85
490,3,42,0,0,4,595
491,1,315,1,1,3,370
492,2,276,0,2,4,137
493,1,329,0,2,5,243
494,1,17,0,2,3,528
495,1,283,1,0,6,426
496,1,258,0,1,4,579
497,2,63,1,0,5,526
498,1,62,1,0,3,202
499,5,100,0,0,1,134
500,5,19,1,0,6,581
501,2,17,1,2,5,508
502,2,325,1,0,2,428
503,1,246,1,0,3,463
504,3,251,0,3,4,223
505,2,81,1,0,4,495
506,1,39,0,0,6,370
507,4,36,2,0,2,88
508,3,197,1,0,3,567
509,4,158,1,0,2,507
510,2,204,0,0,3,132
511,2,196,0,1,1,562
512,1,216,0,0,6,351
513,4,285,0,0,4,578
514,3,196,0,2,5,43
515,1,307,0,1,2,485
516,1,152,0,3,3,250
517,1,14,2,1,3,420
518,3,325,0,0,3,202
519,5,146,2,2,5,110
520,1,57,2,0,3,365
521,2,211,0,0,3,254
522,1,268,1,1,2,64
523,4,210,0,1,2,217
524,3,17,1,2,5,253
525,3,286,0,3,3,523
526,1,344,0,0,5,340
527,1,203,1,1,4,550
528,1,99,0,1,2,569
529,1,279,1,3,2,398
530,3,209,0,2,5,504
531,3,129,0,3,5,60
532,5,335,0,0,3,261
533,5,288,0,2,2,526
534,2,252,0,0,1,595
535,3,265,0,0,3,204
536,4,271,0,3,1,327
537,3,188,1,0,3,394
538,1,214,0,3,3,115
539,1,283,1,0,2,118
540,1,211,0,2,2,83
541,4,76,1,0,6,390
542,2,148,0,0,4,505
543,1,321,0,0,6,258
544,2,213,0,1,3,563
545,2,109,0,0,4,402
546,1,129,1,1,3,498
547,1,10,0,0,4,449
548,2,47,2,0,2,561
549,2,315,0,0,1,429
550,3,96,0,1,6,213
551,2,103,1,2,4,591
552,3,342,0,2,6,119
553,2,146,1,0,3,412
554,2,27,0,1,3,398
555,3,220,1,2,3,103
556,1,18,0,0,5,298
557,1,167,1,1,4,44
558,1,82,1,1,6,358
559,3,72,0,0,1,421
560,2,310,0,0,5,463
561,2,254,0,0,3,373
562,1,162,2,1,2,224
563,1,327,0,0,4,65
564,1,38,0,0,4,234
565,1,201,0,0,2,86
566,2,200,0,0,3,139
567,1,255,1,0,3,525
568,1,179,2,3,3,254
569,4,35,0,0,3,415
570,1,82,1,1,2,93
571,2,220,0,0,1,381
572,3,158,0,1,7,492
573,1,4,0,1,6,349
574,2,167,1,0,3,386
575,3,204,2,2,7,122
576,4,194,1,1,4,329
577,1,235,0,2,2,523
578,4,206,0,1,2,418
579,1,150,0,3,6,463
580,1,159,2,2,4,131
581,1,279,1,3,5,407
582,5,304,1,1,6,367
583,1,166,0,1,3,521
584,1,311,0,2,1,89
585,2,68,0,2,2,538
586,1,88,0,3,2,421
587,1,217,0,0,2,148
588,1,1,0,2,3,500
589,1,135,0,0,2,357
590,1,185,1,1,2,50
591,1,351,1,0,3,126
592,2,140,0,0,3,542
593,1,106,0,3,3,379
594,1,133,0,0,3,161
595,3,108,1,1,4,575
596,1,178,1,1,6,61
597,2,298,1,0,2,288
598,1,358,1,0,2,505
599,1,359,0,1,6,62
600,1,146,0,0,4,417
601,1,74,0,2,5,590
602,1,108,0,3,3,485
603,1,122,1,0,5,173
604,1,17,0,0,6,253
605,1,196,0,1,4,246
606,1,327,0,2,2,185
607,1,318,2,0,6,549
608,1,297,0,0,5,65
609,2,252,1,1,5,38
610,2,119,0,3,1,69
611,1,162,0,0,5,498
612,3,198,0,1,2,208
613,2,45,1,3,3,530
614,1,314,0,1,4,402
615,3,179,1,2,3,97
616,4,44,0,1,4,453
617,1,271,0,3,4,544
618,1,78,2,1,2,393
619,3,326,0,2,4,480
620,2,178,1,1,6,545
621,1,357,1,2,2,358
622,1,3,0,0,4,399
623,1,214,1,0,3,416
624,1,342,0,2,3,576
625,2,74,0,0,3,143
626,1,51,0,1,3,67
627,1,67,1,0,1,574
628,2,332,0,2,7,406
629,1,93,1,0,4,428
630,1,176,2,2,4,232
631,2,145,0,1,3,231
632,3,7,0,0,4,129
633,2,269,0,1,3,427
634,2,322,0,0,3,479
635,1,4,0,0,3,147
636,1,138,1,0,3,450
637,2,231,2,0,2,272
638,1,88,2,3,4,570
639,1,17,1,0,5,256
640,1,52,1,1,2,530
641,1,134,0,0,1,242
642,1,211,1,1,3,142
643,1,325,1,0,7,402
644,1,219,0,1,5,328
645,1,205,2,2,4,48
646,3,211,0,1,6,40
647,2,277,1,0,3,37
648,2,24,1,1,7,182
649,3,4,2,0,3,579
650,1,152,0,0,3,164
651,1,259,1,1,4,402
652,2,324,0,1,3,490
653,2,357,0,1,4,264
654,2,168,1,2,3,284
655,1,176,1,0,4,357
656,1,310,1,0,3,391
657,1,291,0,0,2,403
658,1,56,0,1,6,238
659,2,108,1,1,6,296
660,2,296,0,0,7,583
661,1,324,0,2,5,535
662,5,302,2,1,4,593
663,2,334,0,1,4,450
664,1,141,1,1,2,337
665,1,155,0,1,2,166
666,1,262,0,1,3,448
667,1,273,0,0,6,224
668,1,232,0,0,2,124
669,1,241,0,0,6,519
670,1,355,0,1,4,287
671,1,337,0,2,5,54
672,3,258,0,1,2,261
673,1,249,0,0,3,361
674,2,77,0,2,7,250
675,1,180,0,2,3,326
676,5,66,2,2,3,232
677,1,308,1,1,2,372
678,1,348,1,2,2,234
679,4,171,0,0,3,106
680,3,22,2,0,4,579
681,3,107,1,0,3,71
682,1,323,1,2,4,484
683,1,227,0,0,2,211
684,2,216,2,1,5,224
685,4,69,1,1,5,417
686,2,84,1,0,1,170
687,2,103,0,2,3,56
688,1,39,0,0,2,344
689,3,13,0,0,5,350
690,1,297,0,2,5,477
691,1,313,1,0,6,322
692,1,181,0,1,3,265
693,2,268,0,2,3,486
694,1,13,0,3,2,96
695,1,120,0,2,3,205
696,2,353,0,0,4,539
697,1,57,1,1,2,120
698,2,40,1,0,5,195
699,1,336,0,0,4,467
700,1,128,0,0,5,80
701,2,173,0,0,3,295
702,1,35,0,2,6,550
703,1,259,1,0,7,116
704,1,5,1,1,6,81
705,1,218,1,1,5,208
706,5,11,1,1,5,307
707,1,327,0,3,4,268
708,3,117,2,0,2,368
709,1,184,1,1,4,101
710,2,362,2,1,5,403
711,3,116,0,0,7,546
712,2,162,2,1,4,267
713,1,67,1,2,3,495
714,1,200,1,0,4,150
715,1,31,0,0,7,442
716,4,75,1,0,2,599
717,3,237,2,2,3,72
718,4,327,1,2,4,533
719,1,66,1,1,2,226
720,2,70,2,1,1,101
721,4,297,0,2,3,120
722,1,20,1,2,6,578
723,1,226,0,2,1,520
724,2,199,2,2,3,412
725,2,39,0,1,5,495
726,3,145,0,1,7,183
727,1,45,1,2,7,199
728,3,326,1,3,3,301
729,1,91,1,0,7,139
730,1,238,2,0,1,180
731,1,70,2,3,5,460
732,3,166,0,0,4,480
733,2,130,0,2,3,52
734,2,214,0,0,4,396
735,1,340,0,0,2,268
736,3,89,0,0,6,463
737,1,335,2,0,3,156
738,3,252,1,0,4,570
739,1,349,0,1,2,227
740,1,72,0,2,3,511
741,1,165,1,3,7,208
742,1,49,0,1,5,552
743,2,52,0,1,7,466
744,2,289,1,1,3,343
745,1,278,2,1,2,48
746,3,114,0,1,4,189
747,1,239,1,0,3,151
748,2,133,0,0,2,101
749,4,274,1,0,5,84
750,2,166,0,0,3,489
751,1,293,0,2,2,198
752,4,243,2,0,3,178
753,2,320,0,2,4,55
754,1,138,1,3,5,277
755,1,79,0,3,3,256
756,3,170,0,3,4,513
757,2,123,0,0,2,39
758,2,176,0,1,6,124
759,3,300,1,0,6,150
760,3,82,0,2,4,155
761,1,87,1,2,1,578
762,1,225,1,2,4,98
763,1,16,1,1,4,326
764,2,310,0,2,7,530
765,1,358,2,0,7,74
766,2,163,0,0,6,411
767,3,98,0,2,2,56
768,3,156,0,1,7,526
769,1,2,0,3,4,165
770,3,350,0,0,5,78
771,1,169,1,2,3,536
772,3,315,0,1,3,150
773,1,325,0,2,3,246
774,1,92,1,2,2,555
775,3,181,0,3,3,72
776,1,231,0,0,6,125
777,1,301,0,3,1,56
778,2,148,1,0,2,271
779,2,280,0,0,2,516
780,2,189,0,1,3,269
781,2,347,0,2,7,333
782,2,350,1,1,2,96
783,1,314,1,2,2,310
784,1,128,1,2,6,221
785,1,7,0,0,6,148
786,4,47,0,3,1,181
787,2,53,0,0,5,421
788,1,187,0,2,4,260
789,1,38,0,0,5,380
790,4,226,0,1,3,558
791,1,53,0,1,7,200
792,2,224,1,0,1,161
793,2,154,0,0,3,386
794,2,48,1,0,3,71
795,1,351,0,0,3,334
796,3,147,0,0,6,35
797,4,64,0,1,4,358
798,2,349,0,2,1,199
799,2,182,0,1,3,367
800,4,125,0,2,3,98
801,2,179,2,1,7,568
802,1,39,1,1,4,536
803,2,260,0,1,4,515
804,2,3,1,1,5,472
805,1,64,1,1,5,80
806,2,29,1,0,4,178
807,4,11,1,2,3,121
808,4,97,0,2,6,397
809,1,358,0,0,5,105
810,1,203,0,2,5,115
811,5,21,0,0,7,256
812,3,39,0,0,5,392
813,1,223,1,0,5,597
814,4,102,2,2,7,53
815,3,46,2,2,2,57
816,2,66,1,2,3,150
817,2,91,1,0,4,519
818,1,164,2,1,3,374
819,1,111,0,2,5,60
820,1,338,0,0,5,256
821,3,123,0,1,5,279
822,1,193,1,0,7,79
823,1,99,0,0,3,418
824,1,291,1,1,5,317
825,2,159,0,1,4,504
826,4,103,0,0,3,35
827,1,281,1,0,2,441
828,1,43,0,0,6,353
829,2,84,0,0,4,428
830,1,191,0,0,5,311
831,1,51,0,0,4,220
832,1,210,1,1,3,529
833,1,126,0,1,3,463
834,1,69,1,2,3,92
835,1,265,0,2,7,482
836,1,258,1,0,1,522
837,4,188,0,0,7,471
838,1,230,1,2,7,336
839,2,189,1,0,7,155
840,2,10,0,0,3,294
841,1,114,1,0,7,36
842,2,76,1,1,3,442
843,1,164,0,1,1,235
844,4,85,0,3,3,208
845,1,49,2,2,6,497
846,1,326,1,1,1,525
847,1,177,0,0,4,472
848,5,218,0,0,2,257
849,2,189,1,0,3,175
850,2,346,1,0,2,599
851,1,230,1,0,6,325
852,2,255,0,0,4,270
853,1,236,1,0,6,316
854,3,26,0,0,4,55
855,1,72,0,3,7,481
856,1,261,1,1,4,135
857,1,254,2,3,4,269
858,1,271,0,0,4,447
859,2,123,0,1,3,361
860,1,144,1,0,5,71
861,3,257,0,0,4,585
862,1,144,1,0,5,64
863,2,259,1,3,5,376
864,1,47,0,3,2,413
865,1,351,2,0,4,542
866,2,13,1,0,2,317
867,1,208,1,1,4,62
868,1,311,1,0,4,124
869,3,235,1,0,7,234
870,4,149,0,0,1,59
871,1,322,0,1,2,295
872,1,155,1,0,2,52
873,2,166,0,0,3,68
874,1,90,0,0,5,202
875,1,186,1,1,5,442
876,1,318,1,3,5,443
877,2,358,0,0,6,238
878,2,174,1,2,3,51
879,1,217,1,2,2,34
880,1,264,0,3,2,243
881,1,97,1,2,6,168
882,2,117,0,1,5,346
883,1,199,0,2,4,185
884,1,320,0,0,3,453
885,3,21,0,1,3,529
886,1,200,0,3,7,120
887,2,341,1,2,2,71
888,1,248,1,3,5,324
889,1,276,1,2,3,366
890,1,264,1,2,1,30
891,2,58,0,2,5,138
892,3,302,0,2,3,154
893,3,31,1,1,5,93
894,1,249,0,3,5,235
895,2,93,0,2,4,444
896,1,265,1,2,5,273
897,1,271,0,1,4,245
898,3,94,1,0,3,557
899,1,154,0,0,5,595
900,1,285,0,3,4,409
901,1,80,0,1,1,108
902,1,292,1,0,6,444
903,1,84,0,0,4,482
904,2,37,0,2,6,178
905,1,342,1,2,6,67
906,3,327,2,2,3,186
907,3,232,0,1,4,362
908,1,93,0,0,3,317
909,1,336,0,0,3,141
910,1,102,2,0,6,120
911,2,166,2,2,5,78
912,1,159,0,0,2,190
913,2,14,1,1,4,545
914,1,225,0,1,7,431
915,2,73,0,1,4,349
916,1,249,0,3,5,393
917,1,91,0,0,5,471
918,4,216,0,2,3,504
919,3,90,0,0,3,341
920,1,29,1,0,5,561
921,3,305,0,1,3,249
922,1,220,1,0,4,526
923,3,328,0,2,5,372
924,3,215,0,1,5,123
925,1,221,0,0,3,162
926,1,42,0,0,2,530
927,1,135,0,1,3,201
928,2,42,0,2,4,38
929,2,164,0,1,3,350
930,1,361,0,1,4,127
931,1,283,1,2,2,198
932,3,58,1,1,4,340
933,5,302,0,0,3,372
934,2,322,0,1,4,459
935,1,25,0,1,3,585
936,1,73,1,2,3,529
937,1,129,0,1,6,314
938,4,87,0,3,2,289
939,1,330,0,0,4,524
940,2,153,2,3,6,384
941,1,182,0,1,4,243
942,2,125,1,1,6,229
943,2,67,0,0,2,265
944,3,6,2,0,3,165
945,1,125,1,2,3,451
946,1,314,0,2,1,370
947,1,326,1,0,3,371
948,4,53,0,1,3,559
949,3,66,1,0,4,417
950,2,314,1,3,6,33
951,2,82,0,2,2,428
952,2,87,1,0,3,451
953,1,2,0,2,3,440
954,4,204,0,3,3,242
955,1,150,0,0,5,589
956,1,293,1,2,3,587
957,2,103,0,1,1,587
958,1,24,0,1,5,77
959,1,212,1,0,6,216
960,2,65,0,0,4,531
961,1,209,0,1,4,560
962,2,251,0,0,2,504
963,1,117,0,2,3,71
964,1,116,0,0,3,290
965,1,237,0,1,3,77
966,1,105,2,2,6,475
967,2,259,1,1,4,250
968,1,46,0,1,2,372
969,2,311,0,3,3,267
970,1,331,0,2,3,184
971,2,216,1,0,4,85
972,4,301,0,1,3,416
973,2,333,0,3,3,344
974,1,24,1,0,4,67
975,1,35,0,0,3,370
976,1,24,0,0,2,260
977,2,28,1,0,1,481
978,1,16,1,2,3,371
979,1,59,0,2,2,482
980,2,243,1,3,3,286
981,1,207,0,2,5,463
982,3,271,1,0,5,238
983,1,249,0,0,4,230
984,1,267,1,3,6,166
985,2,193,2,0,3,594
986,1,335,2,0,6,423
987,2,218,2,3,3,65
988,1,115,0,1,3,244
989,1,68,0,0,3,56
990,3,299,0,2,2,47
991,3,325,1,3,7,166
992,2,75,1,0,2,59
993,1,103,0,2,3,102
994,2,297,2,0,3,152
995,1,178,1,1,2,257
